一	〔一・Fiƒ〕
𧜋	〔衤爪幺卄・PEVS・CJK-B〕
𧜌	〔木冂夂𧘇・FKER・CJK-B〕
𧜍	〔亠二欠𧘇・OSER・CJK-B〕
𧜎	〔衤{三點同氵}一手・PIFT・CJK-B〕
𧜏	〔亠非亠𧘇・OLOR・CJK-B〕
𧜐	〔衤{逆折同乚}厶心・PXVY・CJK-B〕
𧜑	〔衤{𠂆同斤}一巾・PEFM・CJK-B〕
𧜒	〔衤艹犬卄・PSSS・CJK-B〕
𧜓	〔衤骨・PMgy・CJK-B〕
𧜔	〔衤尸小月・PBMW・CJK-B〕
𧜕	〔衤竹夭・PQEo・CJK-B〕
𧜖	〔衤十且八・PDMT・CJK-B〕
𧜗	〔衤馬・PDmy・CJK-B〕
𧜘	〔衤口貝・PLMb・CJK-B〕
𧜙	〔衤工貝・PFMb・CJK-B〕
𧜚	〔气米亠𧘇・QPOR・CJK-B〕
𧜛	〔衤丶彐阝・POXC・CJK-B〕
𧜜	〔月丷夫𧘇・WUGR・CJK-B〕
𧜝	〔衤木人水・PFTK・CJK-B〕
𧜞	〔衤日罒又・PJMB・CJK-B〕
𧜟	〔亠丷冂𧘇・OUKR・CJK-B〕
𧜠	〔衤亠幺十・POVD・CJK-B〕
𧜡	〔衤䒑土皿・PUHM・CJK-B〕
𧜢	〔衤{囟框同向}夂心・PREY・CJK-B〕
𧜣	〔衤鳥・PRoy・CJK-B〕
𧜤	〔匚矢殳𧘇・GQQR・CJK-B〕
𧜥	〔衤广卄灬・PUSU・CJK-B〕
𧜦	〔衤木口辶・PFLP・CJK-B〕
𧜧	〔衤𡗗臼・PGRj・CJK-B〕
𧜨	〔衤夂キ辶・PEAP・CJK-B〕
𧜩	〔衤卄口夕・PSLR・CJK-B〕
𧜪	〔亠{卬左同卯}一𧘇・OTFR・CJK-B〕
𧜫	〔亠鹿𧘇・OIRy・CJK-B〕
𧜬	〔衤竹一火・PQFU・CJK-B〕
𧜭	〔衤尸丿冂・PBQK・CJK-B〕
𧜮	〔衤宀耳又・POAB・CJK-B〕
𧜯	〔文口木𧘇・PLFR・CJK-B〕
𧜰	〔衤亠口夂・POLE・CJK-B〕
𧜱	〔衤耳又女・PABC・CJK-B〕
𧜲	〔衤八人月・PTTW・CJK-B〕
𧜳	〔衤彐厶儿・PXVQ・CJK-B〕
𧜴	〔衤夫見・PGMx・CJK-B〕
𧜵	〔衤卄一巾・PSFM・CJK-B〕
𧜶	〔衤臣又土・PSBH・CJK-B〕
𧜷	〔尸二火𧘇・BSUR・CJK-B〕
𧜸	〔亠一人𧘇・OFTR・CJK-B〕
𧜹	〔衤犭龶月・PRHW・CJK-B〕
𧜺	〔衤虎彡・PMTi・CJK-B〕
𧜻	〔丿車一𧘇・QGFR・CJK-B〕
𧜼	〔土八土𧘇・HTHR・CJK-B〕
𧜽	〔衤方{丿一同竹}龰・POQN・CJK-B〕
𧜾	〔衤尸雨・PBDy・CJK-B〕
𧜿	〔衤艹甫・PSFu・CJK-B〕
𧝀	〔衤田龷八・PJST・CJK-B〕
𧝁	〔衤罒羽・PMXu・CJK-B〕
𧝂	〔衤力口貝・PXLM・CJK-B〕
𧝃	〔衤矛冂口・PCKL・CJK-B〕
𧝄	〔衤一日灬・PFJU・CJK-B〕
𧝅	〔衤合羽・PYXu・CJK-B〕
𧝆	〔衤匚儿日・PGQJ・CJK-B〕
𧝇	〔衤弓{介下同八}貝・PVTM・CJK-B〕
𧝈	〔衤隹灬・PWUh・CJK-B〕
𧝉	〔衤〢䒑八・PNUT・CJK-B〕
𧝊	〔衤立日戈・PIJG・CJK-B〕
𧝋	〔衤亠口夂・POLE・CJK-B〕
𧝌	〔衤冖口灬・PYLU・CJK-B〕
𧝍	〔衤阝{右上}月・PCSW・CJK-B〕
𧝎	〔衤立甲二・PIKS・CJK-B〕
𧝏	〔厂禾禾𧘇・SRRR・CJK-B〕
𧝐	〔衤亠丷口・POUL・CJK-B〕
𧝑	〔亠工工𧘇・OFFR・CJK-B〕
𧝒	〔衤龷由八・PSKT・CJK-B〕
𧝓	〔衤覀早・PDJo・CJK-B〕
𧝔	〔衤{虎头同虎}〢䒑・PMNU・CJK-B〕
𧝕	〔亠囗韋𧘇・ONCR・CJK-B〕
𧝖	〔囗韋亠𧘇・NCOR・CJK-B〕
𧝗	〔亠口子𧘇・OLVR・CJK-B〕
𧝘	〔衤亠臼𧘇・PORR・CJK-B〕
𧝙	〔衤羊目・PUMu・CJK-B〕
𧝚	〔{登上同又}一大𧘇・BFGR・CJK-B〕
𧝛	〔亻鬼亠𧘇・EWOR・CJK-B〕
𧝜	〔衤大丷小・PGUM・CJK-B〕
𧝝	〔衤木口贝・PFLK・CJK-B〕
𧝞	〔衤幺幺人・PVVT・CJK-B〕
𧝟	〔尚夂亠𧘇・NEOR・CJK-B〕
𧝠	〔衤龷月夂・PSWE・CJK-B〕
𧝡	〔衤竹合・PQYe・CJK-B〕
𧝢	〔亠舟八𧘇・OQTR・CJK-B〕
𧝣	〔工工工𧘇・FFFR・CJK-B〕
𧝤	〔衤其斤・PDEj・CJK-B〕
𧝥	〔亠亻馬𧘇・OEDR・CJK-B〕
𧝦	〔厂止歹𧘇・SNDR・CJK-B〕
𧝧	〔衤丷日戈・PUJG・CJK-B〕
𧝨	〔衤言刀口・PUBL・CJK-B〕
𧝩	〔衤彳{𠂆同斤}目・PREM・CJK-B〕
𧝪	〔衤覀土寸・PDHA・CJK-B〕
𧝫	〔衤卄一巾・PSFM・CJK-B〕
𧝬	〔丷巾八𧘇・UMTR・CJK-B〕
𧝭	〔衤大丷貝・PGUM・CJK-B〕
𧝮	〔衤{⼓同月}米心・PWPY・CJK-B〕
𧝯	〔衤耳亠𧘇・PAOR・CJK-B〕
𧝰	〔衤{向框同向}丿丂・PRQS・CJK-B〕
𧝱	〔衤宀{冓上同艹}{顺折同乙}・POSV・CJK-B〕
𧝲	〔衤{虎头同虎}豕・PMDs・CJK-B〕
𧝳	〔衤白方夂・PEOE・CJK-B〕
𧝴	〔衤上小目・PKMM・CJK-B〕
𧝵	〔衤艹世木・PSHF・CJK-B〕
𧝶	〔衤艹日{逆折同乚}・PSJX・CJK-B〕
𧝷	〔臼工殳𧘇・RFQR・CJK-B〕
𧝸	〔衤亠{纟上同纟}隹・POVW・CJK-B〕
𧝹	〔{贏頭同亡}亠𧘇・UORy・CJK-B〕
𧝺	〔亠木矛𧘇・OFCR・CJK-B〕
𧝻	〔亠舟火𧘇・OQUR・CJK-B〕
𧝼	〔衤覀示刂・PDHM・CJK-B〕
𧝽	〔衤日{⼓同月}欠・PJWE・CJK-B〕
𧝾	〔亠{卬左同卯}一𧘇・OTFR・CJK-B〕
𧝿	〔衤三田田・PFJJ・CJK-B〕
𧞀	〔衤臣又立・PSBI・CJK-B〕
𧞁	〔衤一大一・PFGF・CJK-B〕
𧞂	〔亠羽臼𧘇・OXRR・CJK-B〕
𧞃	〔衤尸口辛・PBLO・CJK-B〕
𧞄	〔衤{囟框同向}丿丂・PRQS・CJK-B〕
𧞅	〔衤土羊辶・PHUP・CJK-B〕
𧞆	〔衤言羊・PUUg・CJK-B〕
𧞇	〔衤爪冖夂・PEYE・CJK-B〕
𧞈	〔日爪干𧘇・JEHR・CJK-B〕
𧞉	〔木矛木𧘇・FCFR・CJK-B〕
𧞊	〔衤冖用牛・PYTW・CJK-B〕
𧞋	〔衤广䒑八・PUUT・CJK-B〕
𧞌	〔衤八罒灬・PTMU・CJK-B〕
𧞍	〔衤宀{祭上同月}示・POWH・CJK-B〕
𧞎	〔衤爪工心・PEFY・CJK-B〕
𧞏	〔衤臼丂八・PRST・CJK-B〕
𧞐	〔匚{コ同又}{亞下}𧘇・GBJR・CJK-B〕
𧞑	〔衤〢丷豕・PNUD・CJK-B〕
𧞒	〔{穀頭同士}禾亠𧘇・HROR・CJK-B〕
𧞓	〔衤亠丷二・POUS・CJK-B〕
𧞔	〔衤艹土皿・PSHM・CJK-B〕
𧞕	〔而大瓦𧘇・SGAR・CJK-B〕
𧞖	〔衤立山而・PIJS・CJK-B〕
𧞗	〔亠匚{コ同又}𧘇・OGBR・CJK-B〕
𧞘	〔衤尸二辶・PBSP・CJK-B〕
𧞙	〔覀土瓦𧘇・DHAR・CJK-B〕
𧞚	〔亠舟八𧘇・OQTR・CJK-B〕
𧞛	〔衤十戈隹・PDGW・CJK-B〕
𧞜	〔臼士口𧘇・RHLR・CJK-B〕
𧞝	〔衤厂卄巾・PSSM・CJK-B〕
𧞞	〔衤厶月灬・PVWU・CJK-B〕
𧞟	〔衤冖厂口・PYSL・CJK-B〕
𧞠	〔自二二乂・TSSW・CJK-B〕
𧞡	〔女鳥亠𧘇・CROR・CJK-B〕
𧞢	〔十口冖𧘇・DLYR・CJK-B〕
𧞣	〔衤厂日犬・PSJS・CJK-B〕
𧞤	〔衤艹隹又・PSWB・CJK-B〕
𧞥	〔亠𧘇冂女・ORKC・CJK-B〕
𧞦	〔衤冖日灬・PYJU・CJK-B〕
𧞧	〔衤鹿灬・PIUh・CJK-B〕
𧞨	〔衤匚口欠・PGLE・CJK-B〕
𧞩	〔衤小隹戈・PMWG・CJK-B〕
𧞪	〔衤巛囗{鼠下}・PVNB・CJK-B〕
𧞫	〔衤臣又䒑・PSBU・CJK-B〕
𧞬	〔衤十戈一・PDGF・CJK-B〕
𧞭	〔衤田田田・PJJJ・CJK-B〕
𧞮	〔言豕丶𧘇・UDOR・CJK-B〕
𧞯	〔鹿灬亠𧘇・IUOR・CJK-B〕
𧞰	〔衤戊上心・PDKY・CJK-B〕
𧞱	〔衤鹿𧘇・PIRy・CJK-B〕
𧞲	〔衤十{丆同石}大・PDDG・CJK-B〕
𧞳	〔衤十臼灬・PDRU・CJK-B〕
𧞴	〔亠𧘇言口・ORUL・CJK-B〕
𧞵	〔衤厂艹禺・PSSK・CJK-B〕
𧞶	〔衤竹馬・PQDm・CJK-B〕
𧞷	〔衤亠罒𧘇・POMR・CJK-B〕
𧞸	〔衤口丄辶・PLKP・CJK-B〕
𧞹	〔{穀頭同士}豕亠𧘇・HDOR・CJK-B〕
𧞺	〔{穀頭同士}木口𧘇・HFLR・CJK-B〕
𧞻	〔亠口口𧘇・OLLR・CJK-B〕
𧞼	〔衤宀{冓上同艹}𧘇・POSR・CJK-B〕
𧞽	〔衤尸水辶・PBKP・CJK-B〕
𧞾	〔衤黑犬・PNSq・CJK-B〕
𧞿	〔衤厂禾止・PSRN・CJK-B〕
𧟀	〔衤口口戈・PLLG・CJK-B〕
𧟁	〔衤馬䒑卄・PDUS・CJK-B〕
𧟂	〔衤弓三田・PVFJ・CJK-B〕
𧟃	〔衤山隹口・PJWL・CJK-B〕
𧟄	〔衤亠口𧘇・POLR・CJK-B〕
𧟅	〔衤士囗貝・PHNM・CJK-B〕
𧟆	〔衤艹{鹿上同鹿}灬・PSIU・CJK-B〕
𧟇	〔衤合口冊・PYLN・CJK-B〕
𧟈	〔衤臼{囟框同向}火・PRRU・CJK-B〕
𧟉	〔衤竹門月・PQKW・CJK-B〕
𧟊	〔衤日{屮同凵}米・PJXP・CJK-B〕
𧟋	〔衤艹臣皿・PSSM・CJK-B〕
𧟌	〔衤罒糹隹・PMBW・CJK-B〕
𧟍	〔衤罒厶灬・PMVU・CJK-B〕
𧟎	〔衤土八貝・PHTM・CJK-B〕
𧟏	〔言糹糹𧘇・UBBR・CJK-B〕
𧟐	〔衤爾虫・PFKv・CJK-B〕
𧟑	〔衤宀{冓上同艹}馬・POSD・CJK-B〕
𧟒	〔衤臼{囟框同向}辰・PRRS・CJK-B〕
𧟓	〔衤口口夂・PLLE・CJK-B〕
𧟔	〔衤木日日・PFJJ・CJK-B〕
𧟕	〔衤田田一・PJJF・CJK-B〕
𧟖	〔衤竹十一・PQDF・CJK-B〕
𧟗	〔衤言糹十・PUBD・CJK-B〕
𧟘	〔衤十口𧘇・PDLR・CJK-B〕
𧟙	〔衤雨口人・PDLT・CJK-B〕
𧟚	〔衤艹爾虫・PSFK・CJK-B〕
𧟛	〔立臼{逆折同乚}𧘇・IRXR・CJK-B〕
𧟜	〔衤一米米・PFPP・CJK-B〕
𧟝	〔衤金目又・PWMB・CJK-B〕
𧟞	〔衤立臼𧘇・PIRR・CJK-B〕
𧟟	〔立月{龍右同卜}𧘇・IWMR・CJK-B〕
𧟠	〔襾一・DFii・CJK-B〕
𧟡	〔覀一・DFii・CJK-B〕
𧟢	〔乙西・VDii・CJK-B〕
𧟣	〔襾几・DQji・CJK-B〕
𧟤	〔襾卄・DSoi・CJK-B〕
𧟥	〔覀卄・DSoi・CJK-B〕
𧟦	〔覀丌・DAji・CJK-B〕
𧟧	〔襾大丶・DGOd・CJK-B〕
𧟨	〔襾丿卄・DQSo・CJK-B〕
𧟩	〔襾月・DWvi・CJK-B〕
𧟪	〔覀王丶・DGOd・CJK-B〕
𧟫	〔西丁口・DALv・CJK-B〕
𧟬	〔覀亻工・DEFo・CJK-B〕
𧟭	〔十戈西・DGDi・CJK-B〕
𧟮	〔覀囗キ・DNAv・CJK-B〕
𧟯	〔覀土八丂・DHTS・CJK-B〕
𧟰	〔{⼓同月}{两撇同彡}覀女・WTDC・CJK-B〕
𧟱	〔襾月卩又・DWXB・CJK-B〕
𧟲	〔襾龵一キ・DTFA・CJK-B〕
𧟳	〔襾龵月・DTWv・CJK-B〕
𧟴	〔襾金・DWji・CJK-B〕
𧟵	〔覀月卩又・DWXB・CJK-B〕
𧟶	〔覀龵月・DTWv・CJK-B〕
𧟷	〔丰丰西・DDDi・CJK-B〕
𧟸	〔覀亻{丆同石}日・DEDJ・CJK-B〕
𧟹	〔襾日口十・DJLD・CJK-B〕
𧟺	〔一冂〢{マ同又}・FKNB・CJK-B〕
𧟻	〔襾一卜早・DFMJ・CJK-B〕
𧟼	〔襾火土土・DUHH・CJK-B〕
𧟽	〔襾厶月匕・DVWR・CJK-B〕
𧟾	〔一冂〢缶・FKNW・CJK-B〕
𧟿	〔襾冂八壬・DKTE・CJK-B〕
𧠀	〔一丿{コ同又}夂・FQBE・CJK-B〕
𧠁	〔西艹干龷・DSHS・CJK-B〕
𧠂	〔襾厂言夂・DSUE・CJK-B〕
𧠃	〔襾彳{丿一同竹}夂・DRQE・CJK-B〕
𧠄	〔襾革耳・DGAr・CJK-B〕
𧠅	〔覀彳{丿一同竹}巴・DRQC・CJK-B〕
𧠆	〔自儿・TQrk・CJK-B〕
𧠇	〔丨月兀・NWHw・CJK-B〕
𧠈	〔又見・BMxu・CJK-B〕
𧠉	〔也見・CMxy・CJK-B〕
𧠊	〔冂一見・KFMx・CJK-B〕
𧠋	〔見卄・MSox・CJK-B〕
𧠌	〔見卄・MSox・CJK-B〕
𧠍	〔乙十見・VDMx・CJK-B〕
𧠎	〔一巾見・FMMx・CJK-B〕
𧠏	〔厂{顺折同乙}見・SVMx・CJK-B〕
𧠐	〔見予・MCux・CJK-B〕
𧠑	〔見毛・MRmx・CJK-B〕
𧠒	〔壬見・EMxe・CJK-B〕
𧠓	〔冂人見・KTMx・CJK-B〕
𧠔	〔乂乂見・WWMx・CJK-B〕
𧠕	〔見{两点同二}十・MSDh・CJK-B〕
𧠖	〔見牙・MHyx・CJK-B〕
𧠗	〔見日・MJvx・CJK-B〕
𧠘	〔見爪・MEkx・CJK-B〕
𧠙	〔爪見・EMxk・CJK-B〕
𧠚	〔八刀見・TBMx・CJK-B〕
𧠛	〔止見・NMxi・CJK-B〕
𧠜	〔厶口見・VLMx・CJK-B〕
𧠝	〔人彡見・TTMx・CJK-B〕
𧠞	〔户乙見・IVMx・CJK-B〕
𧠟	〔{卬左同卯}七丶見・TAOM・CJK-B〕
𧠠	〔巳七見・CAMx・CJK-B〕
𧠡	〔{丿一同竹}也見・QCMx・CJK-B〕
𧠢	〔且見・MMxi・CJK-B〕
𧠣	〔{顺折同乙}龰見・VNMx・CJK-B〕
𧠤	〔弓{介下同八}見・VTMx・CJK-B〕
𧠥	〔一巾丿見・FMQM・CJK-B〕
𧠦	〔見目・MMux・CJK-B〕
𧠧	〔丶水見・OKMx・CJK-B〕
𧠨	〔{𠂆同斤}𧘇見・ERMx・CJK-B〕
𧠩	〔龷八見・STMx・CJK-B〕
𧠪	〔上小見・KMMx・CJK-B〕
𧠫	〔至見・HMxk・CJK-B〕
𧠬	〔人{逆折同乚}{荒下同儿}見・TXQM・CJK-B〕
𧠭	〔見亠八乂・MOTW・CJK-B〕
𧠮	〔見口口・MLLv・CJK-B〕
𧠯	〔士口見・HLMx・CJK-B〕
𧠰	〔亡{荒下同儿}見・UQMx・CJK-B〕
𧠱	〔工夕見・FRMx・CJK-B〕
𧠲	〔囗口見・NLMx・CJK-B〕
𧠳	〔爪冖見・EYMx・CJK-B〕
𧠴	〔見土寸・MHAc・CJK-B〕
𧠵	〔木冂見・FKMx・CJK-B〕
𧠶	〔{右上}月見・SWMx・CJK-B〕
𧠷	〔亠八乂見・OTWM・CJK-B〕
𧠸	〔又木見・BFMx・CJK-B〕
𧠹	〔土土見・HHMx・CJK-B〕
𧠺	〔⺧儿見・WQMx・CJK-B〕
𧠻	〔見言・MUax・CJK-B〕
𧠼	〔⺧口見・WLMx・CJK-B〕
𧠽	〔宀夭見・OEMx・CJK-B〕
𧠾	〔爪子見・EVMx・CJK-B〕
𧠿	〔月彡見・WTMx・CJK-B〕
𧡀	〔一口䒑見・FLUM・CJK-B〕
𧡁	〔山王見・JGMx・CJK-B〕
𧡂	〔土火見・HUMx・CJK-B〕
𧡃	〔宀{右上}厶見・OSVM・CJK-B〕
𧡄	〔見豕・MDsx・CJK-B〕
𧡅	〔大夭見・GEMx・CJK-B〕
𧡆	〔目二見・MSMx・CJK-B〕
𧡇	〔見田力・MJXl・CJK-B〕
𧡈	〔口王見・LGMx・CJK-B〕
𧡉	〔見丶{三點同氵}・MOIv・CJK-B〕
𧡊	〔亻木一見・EFFM・CJK-B〕
𧡋	〔厂土土見・SHHM・CJK-B〕
𧡌	〔户月見・IWMx・CJK-B〕
𧡍	〔木日見・FJMx・CJK-B〕
𧡎	〔臼儿見・RQMx・CJK-B〕
𧡏	〔又又又見・BBBM・CJK-B〕
𧡐	〔矢口見・QLMx・CJK-B〕
𧡑	〔卜日匕見・MJRM・CJK-B〕
𧡒	〔見{𠂆同斤}𧘇・MERy・CJK-B〕
𧡓	〔爪冖又見・EYBM・CJK-B〕
𧡔	〔龷冂二見・SKSM・CJK-B〕
𧡕	〔見上小又・MKMB・CJK-B〕
𧡖	〔隹見・WMxi・CJK-B〕
𧡗	〔丶王卄見・OGSM・CJK-B〕
𧡘	〔士示見・HHMx・CJK-B〕
𧡙	〔卄一火見・SFUM・CJK-B〕
𧡚	〔十且見・DMMx・CJK-B〕
𧡛	〔來見・DMxl・CJK-B〕
𧡜	〔日月見・JWMx・CJK-B〕
𧡝	〔見冂龷八・MKST・CJK-B〕
𧡞	〔亻土土見・EHHM・CJK-B〕
𧡟	〔䒑〢䒑見・UNUM・CJK-B〕
𧡠	〔凵十火見・XDUM・CJK-B〕
𧡡	〔冖車見・YGMx・CJK-B〕
𧡢	〔宀二日見・OSJM・CJK-B〕
𧡣	〔禾火見・RUMx・CJK-B〕
𧡤	〔户冊見・INMx・CJK-B〕
𧡥	〔龷八巳見・STCM・CJK-B〕
𧡦	〔𠂤卄見・YSMx・CJK-B〕
𧡧	〔宀{丿一同竹}一見・OQFM・CJK-B〕
𧡨	〔日一龰見・JFNM・CJK-B〕
𧡩	〔爪干又見・EHBM・CJK-B〕
𧡪	〔其{逆折同乚}見・DXMx・CJK-B〕
𧡫	〔{登上同又}一大見・BFGM・CJK-B〕
𧡬	〔舟彡見・QTMx・CJK-B〕
𧡭	〔見日一止・MJFN・CJK-B〕
𧡮	〔木目見・FMMx・CJK-B〕
𧡯	〔月矢見・WQMx・CJK-B〕
𧡰	〔日一止見・JFNM・CJK-B〕
𧡱	〔立日見・IJMx・CJK-B〕
𧡲	〔𡗗日見・GJMx・CJK-B〕
𧡳	〔爪{⼓同月}口見・EWLM・CJK-B〕
𧡴	〔木囗丷見・FNUM・CJK-B〕
𧡵	〔大耳見・GAMx・CJK-B〕
𧡶	〔日生見・JWMx・CJK-B〕
𧡷	〔見爪缶・MEWo・CJK-B〕
𧡸	〔匚{コ同又}{亞下}見・GBJM・CJK-B〕
𧡹	〔{逆折同乚}卜囗見・XMNM・CJK-B〕
𧡺	〔耂匕日見・HRJM・CJK-B〕
𧡻	〔囗{丆同石}目見・NDMM・CJK-B〕
𧡼	〔臣火見・SUMx・CJK-B〕
𧡽	〔來刀見・DBMx・CJK-B〕
𧡾	〔爪缶見・EWMx・CJK-B〕
𧡿	〔立未見・IHMx・CJK-B〕
𧢀	〔覀木見・DFMx・CJK-B〕
𧢁	〔見辰寸・MSAc・CJK-B〕
𧢂	〔匚矢殳見・GQQM・CJK-B〕
𧢃	〔口十口見・LDLM・CJK-B〕
𧢄	〔覀示見・DHMx・CJK-B〕
𧢅	〔見見心・MMYn・CJK-B〕
𧢆	〔𡗗臼見・GRMx・CJK-B〕
𧢇	〔羽白見・XEMx・CJK-B〕
𧢈	〔門口見・KLMx・CJK-B〕
𧢉	〔爪隹見・EWMx・CJK-B〕
𧢊	〔見八人欠・MTTE・CJK-B〕
𧢋	〔羽人彡見・XTTM・CJK-B〕
𧢌	〔自二二見・TSSM・CJK-B〕
𧢍	〔丷巾八見・UMTM・CJK-B〕
𧢎	〔木乂乂見・FWWM・CJK-B〕
𧢏	〔止厂土見・NSHM・CJK-B〕
𧢐	〔丷日丷見・UJUM・CJK-B〕
𧢑	〔見門日・MKJv・CJK-B〕
𧢒	〔{微上}一几見・RFQM・CJK-B〕
𧢓	〔{微上}一几見・RFQM・CJK-B〕
𧢔	〔木冂貝見・FKMM・CJK-B〕
𧢕	〔卜冖八見・MYTM・CJK-B〕
𧢖	〔艹一弓見・SFVM・CJK-B〕
𧢗	〔卯一{亞下}見・TFJM・CJK-B〕
𧢘	〔宀{眉上同尸}貝見・OBMM・CJK-B〕
𧢙	〔見{聿上同彐}一皿・MXFM・CJK-B〕
𧢚	〔卄一口見・SFLM・CJK-B〕
𧢛	〔目几目几・MQMQ・CJK-B〕
𧢜	〔木乂乂見・FWWM・CJK-B〕
𧢝	〔厂艹禺見・SSKM・CJK-B〕
𧢞	〔户月見見・IWMM・CJK-B〕
𧢟	〔齒見・MMxc・CJK-B〕
𧢠	〔見山隹夂・MJWE・CJK-B〕
𧢡	〔見{微上}一王・MRFG・CJK-B〕
𧢢	〔合口口見・YLLM・CJK-B〕
𧢣	〔木乂乂見・FWWM・CJK-B〕
𧢤	〔見艹{微上}几・MSRQ・CJK-B〕
𧢥	〔雨口口見・DLLM・CJK-B〕
𧢦	〔𠂤止彐見・YNXM・CJK-B〕
𧢧	〔山隹冂見・JWKM・CJK-B〕
𧢨	〔臼{囟框同向}乂見・RRWM・CJK-B〕
𧢩	〔目目隹見・MMWM・CJK-B〕
𧢪	〔丷日小見・UJMM・CJK-B〕
𧢫	〔𠂤止彐見・YNXM・CJK-B〕
𧢬	〔土土土見・HHHM・CJK-B〕
𧢭	〔目目隹見・MMWM・CJK-B〕
𧢮	〔一冂人見・FKTM・CJK-B〕
𧢯	〔艹口口見・SLLM・CJK-B〕
𧢰	〔艹口口見・SLLM・CJK-B〕
𧢱	〔雨口口見・DLLM・CJK-B〕
𧢲	〔冖{⺆同月}人人・YWTT・CJK-B〕
𧢳	〔冖用{逆折同乚}・YTXi・CJK-B〕
𧢴	〔冖用丁・YTAn・CJK-B〕
𧢵	〔冖用丂・YTSk・CJK-B〕
𧢶	〔冖用匕・YTRi・CJK-B〕
𧢷	〔冖用又丶・YTBO・CJK-B〕
𧢸	〔冖用工・YTFo・CJK-B〕
𧢹	〔冖用巾・YTMv・CJK-B〕
𧢺	〔冖用弓・YTVg・CJK-B〕
𧢻	〔冖用牛・YTWn・CJK-B〕
𧢼	〔爿冖用・XYTn・CJK-B〕
𧢽	〔冖用亻匕・YTER・CJK-B〕
𧢾	〔冖用匚儿・YTGQ・CJK-B〕
𧢿	〔冖用一巾・YTFM・CJK-B〕
𧣀	〔冖用攴・YTKp・CJK-B〕
𧣁	〔冖用冖儿・YTYQ・CJK-B〕
𧣂	〔冖用厂{顺折同乙}・YTSV・CJK-B〕
𧣃	〔冖用巴・YTCb・CJK-B〕
𧣄	〔冖用十又・YTDB・CJK-B〕
𧣅	〔匕匕冖用・RRYT・CJK-B〕
𧣆	〔止冖用・NYTn・CJK-B〕
𧣇	〔冖用殳・YTQh・CJK-B〕
𧣈	〔冖用牛・YTWn・CJK-B〕
𧣉	〔片冖用・TYTn・CJK-B〕
𧣊	〔冖用斤・YTEj・CJK-B〕
𧣋	〔冖用人{介下同八}・YTTT・CJK-B〕
𧣌	〔火冖用・UYTn・CJK-B〕
𧣍	〔冖用冖几・YTYQ・CJK-B〕
𧣎	〔冖用一幺・YTFV・CJK-B〕
𧣏	〔冖用{⼓同月}二・YTWS・CJK-B〕
𧣐	〔冖用牙・YTHy・CJK-B〕
𧣑	〔冖用卄二・YTSS・CJK-B〕
𧣒	〔冖用匚{コ同又}・YTGB・CJK-B〕
𧣓	〔冖用丶王・YTOG・CJK-B〕
𧣔	〔冖用石・YTDv・CJK-B〕
𧣕	〔冖用囗人・YTNT・CJK-B〕
𧣖	〔冖用宀匕・YTOR・CJK-B〕
𧣗	〔冖用古・YTDg・CJK-B〕
𧣘	〔冖用一丿・YTFQ・CJK-B〕
𧣙	〔冖用亠幺・YTOV・CJK-B〕
𧣚	〔冖用弓二・YTVS・CJK-B〕
𧣛	〔冖用囗儿・YTNQ・CJK-B〕
𧣜	〔冖用亻工・YTEF・CJK-B〕
𧣝	〔冖用{丿一同竹}{乍下同卜}・YTQM・CJK-B〕
𧣞	〔冖用且・YTMi・CJK-B〕
𧣟	〔冖用{丿一同竹}也・YTQC・CJK-B〕
𧣠	〔冖用一止・YTFN・CJK-B〕
𧣡	〔夕夕冖用・RRYT・CJK-B〕
𧣢	〔冖用艮・YTVn・CJK-B〕
𧣣	〔冖用夕夕・YTRR・CJK-B〕
𧣤	〔冖用日匕・YTJR・CJK-B〕
𧣥	〔冖用八儿・YTTQ・CJK-B〕
𧣦	〔冖用亠乂・YTOW・CJK-B〕
𧣧	〔冖用大弓・YTGV・CJK-B〕
𧣨	〔冖用辰・YTSn・CJK-B〕
𧣩	〔冖用乂巾・YTWM・CJK-B〕
𧣪	〔冖用小月・YTMW・CJK-B〕
𧣫	〔冖用足・YTNv・CJK-B〕
𧣬	〔冖用冖且・YTYM・CJK-B〕
𧣭	〔冖用豸・YTYi・CJK-B〕
𧣮	〔冖用酉・YTGo・CJK-B〕
𧣯	〔扌斤冖用・AEYT・CJK-B〕
𧣰	〔冖用一一・YTFF・CJK-B〕
𧣱	〔冖用戈幺・YTGV・CJK-B〕
𧣲	〔冖用一乂・YTFW・CJK-B〕
𧣳	〔冖用儿口・YTQL・CJK-B〕
𧣴	〔冖用戈戈・YTGG・CJK-B〕
𧣵	〔冖用人冊・YTTN・CJK-B〕
𧣶	〔冖用{雋下同冂}兀・YTKH・CJK-B〕
𧣷	〔冖用{⺆同月}口・YTWL・CJK-B〕
𧣸	〔冖用又又・YTBB・CJK-B〕
𧣹	〔冖用火火・YTUU・CJK-B〕
𧣺	〔冖用卜早・YTMJ・CJK-B〕
𧣻	〔冖用尸古・YTBD・CJK-B〕
𧣼	〔冖用戈一・YTGF・CJK-B〕
𧣽	〔冖用隹・YTWi・CJK-B〕
𧣾	〔冖用虎・YTMh・CJK-B〕
𧣿	〔冖用立キ・YTIA・CJK-B〕
𧤀	〔冖用亠小・YTOM・CJK-B〕
𧤁	〔冖用土夂・YTHE・CJK-B〕
